ID,Nombre de la comunidad,Priori_500,Justifi_Prio_500,Priori_1000,Priorizadas,Cod_DANE_Dep,Departamento,Cod_DANE_Mun,Municipio,Región geográfica,18.¿Cúantas viviendas hay en su comunidad?,Inversión Estimada,Potencia Estimada kWp,x,y
67,ASOCIACION DE AUTORIDADES TRADICIONALES INDIGENA WAYUU OLOIJIRAWA AGUAIPA,NO,N.A,NO,NO,44,LA GUAJIRA,44847,URIBIA,CARIBE,200,1800000000,90,-72.293901222,11.672518615
68,ORGANICACION DEL PUEBLO YUWA,NO,N.A,NO,NO,44,LA GUAJIRA,44847,URIBIA,CARIBE,,972000000,20,-72.29344525,11.672511882
69,ASOKUISA  ASOCIACION DE AUTORIDADES ANCESTRALES ZONA DE KUISA,NO,N.A,NO,NO,44,LA GUAJIRA,44847,URIBIA,CARIBE,,972000000,20,-71.8249399999999,11.8854799999999
70,ASOCIACION DE CAMSPESINOS NUEVA ESPERANZA ASOCANOE,NO,N.A,NO,NO,44,LA GUAJIRA,44847,URIBIA,CARIBE,,972000000,20,-72.26536,11.71604
71,JAC LA PLAZUELA ,NO,N.A,NO,NO,68,SANTANDER,68444,MATANZA,ANDINA,57,1014000000,90,-73.093257901,7.385619268
72,JUNTA DE ACCION COMUNAL DEL CORREGIMIENTO DE VALERIO,NO,N.A,NO,NO,27,CHOCÓ,27077,BAJO BAUDÓ,PACÍFICA,186,2400000000,120,-77.2176705929,5.01184265736
74,ASOCIACION DE JUNTAS DE ACCION COMUNAL DEL MUNICIPIO DE BAJO BAUDO,NO,N.A,NO,NO,27,CHOCÓ,27077,BAJO BAUDÓ,PACÍFICA,,972000000,20,-77.2176705929,5.01184265736
75,PAIINWAJIRAWA SUCHIRUWA WOUMAIN,NO,N.A,NO,NO,44,LA GUAJIRA,44847,URIBIA,CARIBE,,972000000,20,-71.7488151815,11.9997145068
76,ASOCIACION DE PRODUCTORES DE CACAO DEL CENTRO DEL VALLE,NO,N.A,NO,NO,76,VALLE DEL CAUCA,76834,TULUÁ,PACÍFICA,,338000000,30,-76.225380184,4.130090424
77,JAC ,NO,N.A,NO,NO,50,META,50711,VISTA HERMOSA,ORINOQUÍA,,972000000,20,-73.667175521,2.81273922
78,COOPERATIVA MULTIACTIVA DE DESARROLLO AGROPECUARIO E INFRAESTRUCTURA ,NO,N.A,NO,NO,50,META,50689,SAN MARTÍN,ORINOQUÍA,,338000000,30,-73.758753385,3.746165217
79,AGUA BONITA ,NO,N.A,NO,NO,20,CESAR,20013,AGUSTÍN CODAZZI,CARIBE,,972000000,20,-73.2235824408,9.94921590787
80,CFERET SAS ,NO,N.A,NO,NO,15,BOYACÁ,15238,DUITAMA,ANDINA,,338000000,30,-73.039390041,5.827690012
81,COMUNIDAD WAYUU JUMAIN PUSHAINA,NO,N.A,NO,NO,44,LA GUAJIRA,44078,BARRANCAS,CARIBE,,972000000,20,-72.7724343999999,10.9837807
82,COMUNIDAD INDIGENA SAPUARA ,NO,N.A,NO,NO,94,GUAINÍA,94343,BARRANCO MINAS,AMAZÓNICA,,972000000,20,-69.361919528,3.666372994
85,ORGANIZACION DE ACCION COMUNAL DEL BARRIO KENNEDY ,NO,N.A,NO,NO,8,ATLÁNTICO,8001,BARRANQUILLA,CARIBE,980,3618461538,980,-74.806151334,10.949601649
86,ASOCIACION DE PESCADORES Y AGRICULTORES DE CANO VIEJO APECAVI CORREGIMIENTO DE SAN NICOLAS DE BARI,NO,N.A,NO,NO,23,CÓRDOBA,23417,LORICA,CARIBE,,338000000,30,-75.867867406,9.24379715299999
87,JUNTA DE ACCION COMUNAL DE SANTA VERONICA ,NO,N.A,NO,NO,8,ATLÁNTICO,8372,JUAN DE ACOSTA,CARIBE,,338000000,30,-75.0784179865,10.8230591749999
88,JAC LAFLORESTA,NO,N.A,NO,NO,50,META,50318,GUAMAL,ORINOQUÍA,,338000000,30,-73.9598386376,3.94777558498
89,RESGUARDO INDIGENA EMBERA KATIO SAN PABLO EL PARA,NO,N.A,NO,NO,18,CAQUETÁ,18001,FLORENCIA,AMAZÓNICA,28,1458000000,30,-75.5582390642999,1.74913870382
90,PROPIEDAD HORIZONTAL LAS HELICONIAS ,NO,N.A,NO,NO,5,ANTIOQUIA,5045,APARTADÓ,ANDINA,,338000000,30,-76.6271799999999,7.88257
91,JUNTA DE ACCION COMUNAL BARRIO SANTA TERESA,NO,N.A,NO,NO,8,ATLÁNTICO,8372,JUAN DE ACOSTA,CARIBE,,338000000,30,-75.03404,10.82963
92,FUNDACION DE RESERVAS NATURALES ,NO,N.A,NO,NO,52,NARIÑO,52258,EL TABLON DE GOMEZ,PACÍFICA,,338000000,30,-76.9852695879,1.40943020744
93,COMUNIDAD INDIGENA DE PUERTO VENTURA,NO,N.A,NO,NO,91,AMAZONAS,91798,TARAPACÁ,AMAZÓNICA,65,1200000000,60,-69.782301278,-2.817152796
94,FEDERACION COMUNAL DEL DEPARTAMENTO DE NARINO ,NO,N.A,NO,NO,52,NARIÑO,52001,PASTO,PACÍFICA,,338000000,30,-77.2060972082999,1.08360372738
95,ASOCIACION DE VICTIMAS DEL CONFLICTO CAMINO POR LA PAZ DE BARAYA HUILA ARCOPAZ,NO,N.A,NO,NO,41,HUILA,41078,BARAYA,ANDINA,,338000000,30,-75.0706025789999,3.131498542
96,ASOCIACION LUZ  Y ARTE AGROPECUARIO DE ALTAMIRA HUILA,NO,N.A,NO,NO,41,HUILA,41026,ALTAMIRA,ANDINA,150,3042000000,270,-75.79622206,2.115061011
97,SOCIEDAD DE MEJORAS PUBLICAS DE APIA,NO,N.A,NO,NO,66,RISARALDA,66045,APÍA,ANDINA,,338000000,30,-75.9429899999999,5.10742
