Item,CEs Relacionadas,Longitud,Latitud,Comunidad,Departamento,Municipio,Nombre del proyecto,Zona,Potencia  KW,Numero de comunidades,Beneficiarios,Fuente de financiamiento
1,"17041, 17664, 17023, 17449, 17450, 17453, 17601, 10050, 10052, 17444",-75.6428527777777,1.5868806,,CAQUETÁ,FLORENCIA,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE FLORENCIA, DEPARTAMENTO DEL CAQUETA",SIN,1000,10,500,FENOGE 1
2,"98, 433, 6810, 7469, 18441, 7519, 7986, 16432, 6588, 6847",-75.0779222222222,4.9227528,,TOLIMA,LÍBANO,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE  LIBANO, DEPARTAMENTO DEL TOLIMA",SIN,1000,10,500,FENOGE 1
3,"10652, 8692, 9240, 15130, 8571, 15708, 10491, 15108, 13869, 9572",-75.7712527777777,2.2667139,,HUILA,AGRADO,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE EL AGRADO, DEPARTAMENTO DE HUILA",SIN,1000,10,500,FENOGE 1
4,"10325, 10344, 657, 13716, 552, 2562, 10335, 13990, 13986, 12983",-73.5411277777777,5.6208361,,BOYACÁ,VILLA DE LEYVA,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE VILLA DE LEYVA, DEPARTAMENTO DE BOYACA",SIN,1000,10,500,FENOGE 1
5,"11583, 9251, 8416, 6893, 9208, 11010, 14375, 14352, 14358, 15552",-74.7819722222222,4.6611556,,CUNDINAMARCA,BELTRÁN,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE BELTRAN, DEPARTAMENTO DE CUNDINAMARCA",SIN,1000,10,500,FENOGE 1
6,"1642, 12312, 10776, 1993, 839, 1698, 11277, 973, 1766, 2871",-73.7523222222222,3.1257583,,META,VISTAHERMOSA,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE VISTA HERMOSA, DEPARTAMENTO DEL META",SIN,1000,10,500,FENOGE 1
7,"9622, 7534, 7538, 1977, 7529, 7532, 8755, 7416, 7252, 9477",-72.7377305555555,8.6422333,,NORTE DE SANTANDER,TIBÚ,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE TIBÚ, DEPARTAMENTO DE NORTE DE SANTANDER",SIN,1000,10,500,FENOGE 1
8,"721, 8711, 13601, 7430, 7754, 7877, 8218, 7767, 7814, 8631",-73.8612305555555,7.1163417,,SANTANDER,BARRANCABERMEJA,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE BARRANCABERMEJA, DEPARTAMENTO DE SANTANDER.",SIN,1000,10,500,FENOGE 1
9,"12317, 15953, 11879, 11925, 11926, 12588, 15938, 16808, 16816, 1925",-71.2267916666666,6.8254056,,ARAUCA,ARAUQUITA,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE ARAUQUITA, DEPARTAMENTO DE ARAUCA",SIN,1000,10,500,FENOGE 1
10,"10918, 7660, 16697, 15816, 12943, 17324, 15805, 4809, 4807, 2961",-73.602704,9.608519,,CESAR,EL PASO,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE EL PASO, DEPARTAMENTO DEL CESAR",SIN,1000,10,500,FENOGE 1.1
11,"3161, 981, 4276, 556, 423, 12575, 16236, 16198, 819, 17503",-72.7639497222222,11.5082472,,LA GUAJIRA,RIOHACHA,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, DENOMINADA GRANJA FOTOVOLTAICA 2 PESUAPA , PARA EL MUNICIPIO DE RIOHACHA, DEPARTAMENTO DE LA GUAJIRA.",SIN,1000,10,500,FENOGE 1.1
12,"5911, 9718, 9672, 9667, 13974, 3386, 13683, 16306, 18569, 478",-73.455425,11.2022139,,LA GUAJIRA,RIOHACHA,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, DENOMINADA GRANJA FOTOVOLTAICA LOS ROSALES, PARA EL MUNICIPIO DE RIOHACHA, DEPARTAMENTO DE LA GUAJIRA.",SIN,1000,10,500,FENOGE 1.1
13,"3161, 981, 556, 4276, 423, 12575, 17503, 16236, 16198, 819",-72.7633861111111,11.5098139,,LA GUAJIRA,RIOHACHA,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, DENOMINADA GRANJA FOTOVOLTAICA PESUAPA , PARA EL MUNICIPIO DE RIOHACHA, DEPARTAMENTO DE LA GUAJIRA.",SIN,1000,10,500,FENOGE 1.1
14,"14191, 9372, 14337, 14494, 14286, 14458, 3291, 11464, 13550, 14120",-73.97205,9.0605722,,MAGDALENA,EL BANCO,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE EL BANCO, DEPARTAMENTO DEL MAGDALENA",SIN,1000,10,500,FENOGE 1.1
15,"10561, 5566, 2821, 10562, 2854, 17685, 3165, 2869, 5548, 12032",-75.5060583333333,10.3547833,,BOLÍVAR,CARTAGENA DE INDIAS,"SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE GENERACIÓN DE ENERGÍA FOTOVOLTAICA DE 1MW DE POTENCIA, PARA EL MUNICIPIO DE CARTAGENA, DEPARTAMENTO DE BOLÍVAR",SIN,1000,10,500,FENOGE 1.1
