Granja_Item,Granja_Departamento,Granja_Municipio,Ranking,Comunidad_ID,Comunidad_Nombre,Comunidad_Departamento,Comunidad_Municipio,Distancia_km,Potencia_kWp,Inversion_Estimada
1,CAQUETÁ,FLORENCIA,1,17041,JUNTA DE ACCION COMUNAL DAMAS ARRIBA,CAQUETÁ,FLORENCIA,1.5,30,338000000
1,CAQUETÁ,FLORENCIA,2,17664,VEREDA VILLA HERMOSA,CAQUETÁ,FLORENCIA,1.5,30,338000000
1,CAQUETÁ,FLORENCIA,3,17023,JUNTA DE ACCION COMUNAL REMOLINOS,CAQUETÁ,FLORENCIA,4.04,30,338000000
1,CAQUETÁ,FLORENCIA,4,17449,JUNTA DE ACCION COMUNAL SANTA ELENA,CAQUETÁ,FLORENCIA,4.04,30,338000000
1,CAQUETÁ,FLORENCIA,5,17450,JUNTA DE ACCION COMUNAL SAN FRANCISCO,CAQUETÁ,FLORENCIA,4.04,30,338000000
1,CAQUETÁ,FLORENCIA,6,17453,JUNTA DE ACCION COMUNAL VILLA ANDREA,CAQUETÁ,FLORENCIA,4.04,30,338000000
1,CAQUETÁ,FLORENCIA,7,17601,JUNTA DE ACCION COMUNAL DIAMANTE,CAQUETÁ,FLORENCIA,4.04,30,338000000
1,CAQUETÁ,FLORENCIA,8,10050,ASOMETALCA,CAQUETÁ,FLORENCIA,4.53,30,338000000
1,CAQUETÁ,FLORENCIA,9,10052,ASOCIACION DE ACUEDUCTO RURAL SAJEL,CAQUETÁ,FLORENCIA,4.53,330,3718000000
1,CAQUETÁ,FLORENCIA,10,17444,JUNTA DE ACCION COMUNAL EL MIRADOR,CAQUETÁ,FLORENCIA,4.67,30,338000000
2,TOLIMA,LÍBANO,1,98,JUNTA DE ACCION COMUNAL  BARRIO VILLA ESPERANZA LIBANO TOLIMA ,TOLIMA,LIBANO,3.33,120,1352000000
2,TOLIMA,LÍBANO,2,433,JUNTA ACCION COMUNAL VEREDA RIO RECIO LIBANO TOLIMA ,TOLIMA,LIBANO,5.99,30,338000000
2,TOLIMA,LÍBANO,3,6810,JUNTA DE ACCION COMUNAL VEREDA EL SILENCIO ,TOLIMA,LIBANO,5.99,30,338000000
2,TOLIMA,LÍBANO,4,7469,JUNTA DE ACCION COMUNAL  VEREDA LA TRINIDAD,TOLIMA,LIBANO,5.99,30,338000000
2,TOLIMA,LÍBANO,5,18441,VEREDA LAS AMERICAS,TOLIMA,LIBANO,5.99,60,676000000
